"","species_na","MNF1","MNF2","MNF3","MNF4","MNF5","MNF6","MNF7","MNF8","MNF9","MNF10","MNF11","MNF12","MNF13","MNF14","MNF15","R401","R406","R410","R414","R419","R423","R428","R432","R436","R441","R445","R450","R454","R458","R463","R467","R472","R476","R481","R485","R490","R494","R499","R503","R508","R512","R517","R521","R526","R530","R535","R540","R544","R549","R553","R558","R562","R567","R572","R576","R581","R586","R590","R595","R599","R604","R609","R613","R618","R623","R627","R632","R637","R641","R646","R651","R655","R660","R665","R670","R674","R679","R684","R688","R693","R698","R703","R707","R712","R717","R722","R726","R731","R736","R740","R745","R750","R755","R759","R764","R769","R774","R779","R783","R788","R793","R798","R802","R807","R812","R817","R821","R826","R831","R836","R840","R845","R850","R855","R860","R864","R869","R874","R879","R883","R888","R893","R898","R902","R907","R912","R917","R921","R926","R931","R936","R940","R945","R950","R955","R959","R964","R969","R974","R978","R983","R988","R992","R997","ndvi","sr","evi","wbi","arvi","savi","vari","vigreen","vi700","sipi","pssr","psnd","psri","cari","mcari","ci_rededge","ari","mari","rgri","aci","crl1","crl2","pri","max","min","var","p95","mad_med","mad_mean","aad_mean","aad_med","sqmean","count"
"1","Macademia sp.",3.15255125011835,5.41075168922543,6.7646724142962,-5.74751131153769,2.51214105718666,-2.28544335191448,1.21703472417883,-2.18136403626866,2.43036938541465,-0.444404763066106,-0.819788914329062,-0.957439421520879,0.464672397768785,0.379879116184182,0.131307900572817,114.361111111111,117.333333333333,130.722222222222,116,115.333333333333,112.166666666667,119.916666666667,114.833333333333,115.944444444444,118.388888888889,120.194444444444,118.305555555556,122.277777777778,130.277777777778,128.416666666667,123.194444444444,125.583333333333,126.472222222222,130.555555555556,128.5,138.305555555556,140.083333333333,148.472222222222,163.416666666667,180.25,203.416666666667,247.166666666667,286.888888888889,323.861111111111,366.583333333333,399.666666666667,421.583333333333,442.805555555556,456.75,466.916666666667,477.25,458.833333333333,431.888888888889,423.027777777778,391.5,378.972222222222,348.222222222222,357.722222222222,350.027777777778,339.611111111111,333.666666666667,329.222222222222,313.055555555556,306.916666666667,296.333333333333,293.444444444444,293.777777777778,283.277777777778,270.111111111111,256.916666666667,246.138888888889,239.916666666667,232.055555555556,224.972222222222,222.166666666667,222.888888888889,232.5,247.861111111111,542.555555555556,837.166666666667,1131.86111111111,1426.5,1721.77777777778,2016.94444444444,2312.25,2608.13888888889,2903.97222222222,3199.83333333333,3495.69444444444,3791.61111111111,4100.22222222222,4293.27777777778,4395,4496.63888888889,4598.41666666667,4700.22222222222,4801.97222222222,4846.41666666667,4901.08333333333,4888.86111111111,4910.52777777778,4932.02777777778,4953.72222222222,4975.44444444444,4997.02777777778,5018.72222222222,5040.33333333333,5061.88888888889,5083.61111111111,5105.19444444444,5126.88888888889,5215.05555555556,5261.97222222222,5204.33333333333,5307.44444444444,5386.94444444444,5310.86111111111,5363.33333333333,5386.72222222222,5422.02777777778,5428.52777777778,5430.25,5431.83333333333,5433.30555555556,5434.83333333333,5436.36111111111,5438.11111111111,5425.86111111111,5406.91666666667,5395.02777777778,5369.36111111111,5322.44444444444,5299.77777777778,5271.91666666667,5224.5,5203.11111111111,5188.52777777778,5173.77777777778,5164.94444444444,5160.13888888889,5166.47222222222,5178.80555555556,5186.38888888889,5180.88888888889,0.897351166752411,20.1942386759921,2.14116358632898,1.05021118969378,0.865377499259228,1.36325196159947,0.646676052336836,0.347529472907986,0.67875438507659,1.02478371456975,24.6402077368208,0.914133711876317,0.0204885454959814,774.672222222222,5274.0478663499,3.37180912701768,0.00180311231884163,-4.36899728895502,0.485664120559081,0.0926474363283136,0.004176750813647,0.00618995054053216,-0.069696822623677,6.35,2.24,1.87538469805466,5.7725,0.76,0.805,0.831894369834711,0.830227272727273,4.59146602157445,176
"2","Zimmermania commiphora",2.91832248127413,3.20510503744322,3.93382480929768,-3.6236427128315,0.960428763920116,-0.0216711278236098,0.690418281607212,-0.199945281481459,0.168790835266312,0.178655865055228,0.0541821874813023,-0.0513714957716203,-0.275135569747478,-0.131760710776443,0.461129475473648,118.539682539683,122.936507936508,136.603174603175,120.825396825397,124.031746031746,116.333333333333,129.777777777778,125.063492063492,126.555555555556,132.634920634921,131.095238095238,127.619047619048,131.253968253968,140.888888888889,137.634920634921,133.126984126984,134.412698412698,136.507936507937,140.206349206349,137.412698412698,147.587301587302,148.444444444444,155.84126984127,168.634920634921,180.142857142857,200.190476190476,238.238095238095,272.285714285714,306.52380952381,345.730158730159,378.793650793651,398.31746031746,417.126984126984,428.857142857143,438,450.190476190476,435.111111111111,412.873015873016,410.619047619048,385,379,349.888888888889,360.126984126984,359.507936507937,352.349206349206,352.68253968254,350.31746031746,337.396825396825,335.603174603175,326.428571428571,326.857142857143,328.063492063492,319.206349206349,312.31746031746,298.968253968254,292.793650793651,289.746031746032,285.809523809524,280.095238095238,279.190476190476,282.793650793651,292.174603174603,309.714285714286,542.206349206349,774.698412698413,1007.1746031746,1239.53968253968,1472.61904761905,1705.53968253968,1938.52380952381,2171.95238095238,2405.42857142857,2638.84126984127,2872.31746031746,3105.79365079365,3337.28571428571,3474.77777777778,3548.7619047619,3622.74603174603,3697.03174603175,3771,3845.07936507937,3880.03174603175,3925.90476190476,3892.26984126984,3911.19047619048,3930.04761904762,3949.11111111111,3967.98412698413,3987,4005.93650793651,4024.85714285714,4043.8253968254,4062.79365079365,4081.73015873016,4100.69841269841,4171.79365079365,4212.07936507936,4179.11111111111,4271.61904761905,4337.65079365079,4286.34920634921,4314.14285714286,4326.30158730159,4350.12698412698,4354.66666666667,4355.01587301587,4355.47619047619,4355.92063492064,4356.22222222222,4356.66666666667,4357.25396825397,4348.03174603175,4334.46031746032,4325.60317460317,4306.74603174603,4272.1746031746,4254.85714285714,4234.47619047619,4201.09523809524,4184.92063492064,4173.55555555556,4161.38095238095,4153.01587301587,4148.25396825397,4150.96825396825,4157.71428571429,4161.50793650794,4157.11111111111,0.839696581899858,13.4850781195267,1.95435197210533,1.04630415035595,0.80008260353691,1.29971735983954,0.150746212368524,0.225038291897423,0.575425291576662,1.0505099601795,15.9635438799277,0.861688662585523,0.0437768960325028,612.320634920635,3132.9335004953,2.8839523331757,0.00165477726514163,-3.8811882374412,0.651545308203962,0.110775100610089,0.00439954501351834,0.00626269004447347,-0.0873344438999741,9.99,2.12,3.75463947487576,8.3175,0.704999999999999,0.715,0.880572,0.8805,6.56004588398587,200
"3","Persea americana",4.95244806885719,3.23921578524634,7.80986298650504,-6.37976552784443,4.84292132794857,-1.61074110098183,-2.68627991259098,-3.1142901211977,4.12739392012358,-5.23273184984922,1.14370278814808,-0.11982145756483,0.54527380976826,0.291603228915483,0.244884387180209,122.18,128.46,142.72,127.24,128.82,123.1,135.66,130.64,131.16,134.14,133.6,132.1,134.08,142.44,137.58,132.4,133.36,134.88,137.94,134.64,144.16,144.62,153.36,164.5,176.7,197.76,236.66,273.34,308.88,348.02,379.94,398.64,417.08,427.26,434.38,444.9,425.4,402.48,396.12,368.54,361.78,332.4,341.94,339.2,329.86,326.34,321.9,305.86,299.58,289.86,288.76,288.8,278.38,269.32,258.82,250.36,245.54,238.38,231.56,229.8,233.38,241.88,257.58,567.1,876.64,1186.12,1495.62,1805.88,2116,2426.16,2737.08,3047.92,3358.66,3669.54,3980.44,4356.84,4595.76,4710.72,4825.92,4941.16,5056.2,5171.52,5208.76,5266.68,5229.52,5243.56,5257.58,5271.52,5285.64,5299.62,5313.68,5327.64,5341.68,5355.68,5369.64,5383.86,5453.84,5492.96,5427.12,5538.88,5595.46,5517.86,5568.72,5563.04,5594.58,5601.4,5603.1,5604.74,5606.38,5608.02,5609.64,5611.54,5598.8,5579.18,5566.84,5540.34,5491.64,5468.24,5439.42,5390.06,5367.94,5352.96,5337.82,5328.68,5323.92,5330.78,5343.74,5351.64,5345.96,0.890187553336179,20.2060270949441,2.13605766113464,1.04963388418171,0.860013695395309,1.35632366945842,0.564463132978256,0.300020896309042,0.667596668901199,1.02741710174583,24.2582992800195,0.90634496378845,0.0240044473867913,804.548,5878.44347649203,3.38382593298572,0.00176742672024145,-4.38107520173458,0.550370457736296,0.0856777600928983,0.0042032288204713,0.00616913723944938,-0.0664613277280508,9.17,2.63,1.94822479898115,8.811,0.750000000000001,0.98377358490566,1.1350800996796,1.05201257861635,7.37879935180608,159
"4","Grevillea robusta",0.0522685090137509,5.10083482867664,3.02959761476701,-2.05862236176569,0.920250841406817,0.315274522378176,1.20611102241523,0.684683008177071,-1.27322827579127,2.10600256474362,0.752080944640389,-2.07958166278207,-0.463951981252002,-1.05720986976029,0.0800551886300641,165.618556701031,174.546391752577,192.350515463918,175,180.835051546392,178.20618556701,192.154639175258,187.092783505155,188.329896907216,192.701030927835,190.680412371134,190.680412371134,194.927835051546,206.536082474227,201.917525773196,196.329896907216,199.061855670103,201.824742268041,207.835051546392,204.340206185567,216.948453608247,218.525773195876,228.690721649485,243.855670103093,262.164948453608,292.082474226804,345.422680412371,397.484536082474,446.494845360825,500.783505154639,544.40206185567,569.082474226804,596.505154639175,612.690721649485,624.948453608247,640.79381443299,617.546391752577,584.958762886598,578.659793814433,539.896907216495,526.701030927835,485.030927835052,501.041237113402,494.917525773196,482.556701030928,477.422680412371,473.278350515464,451.329896907216,447.20618556701,433.60824742268,432.845360824742,431.463917525773,417.79381443299,406.484536082474,389.257731958763,377.360824742268,372.164948453608,362.639175257732,354.556701030928,351.80412371134,353.917525773196,363.319587628866,383.60824742268,677.278350515464,970.979381443299,1264.65979381443,1558.37113402062,1852.68041237113,2146.9793814433,2441.25773195876,2736.15463917526,3031.12371134021,3326,3620.9587628866,3915.87628865979,4150.98969072165,4277.78350515464,4354.85567010309,4431.78350515464,4508.92783505155,4586.01030927835,4663.18556701031,4704.88659793814,4748.45360824742,4735.25773195876,4754.84536082474,4774.47422680412,4794.13402061856,4813.72164948454,4833.40206185567,4853.10309278351,4872.71134020619,4892.35051546392,4912.03092783505,4931.62886597938,4951.27835051546,5032.72164948454,5065.55670103093,5017.37113402062,5112.26804123711,5197.19587628866,5131.46391752577,5184.32989690722,5203.76288659794,5233.89690721649,5239.0412371134,5239.27835051546,5239.57731958763,5239.76288659794,5240.05154639175,5240.27835051546,5240.70103092783,5229.90721649485,5213.9793814433,5203.57731958763,5181.31958762887,5140.38144329897,5119.74226804124,5095.89690721649,5056.90721649485,5037.79381443299,5024.0412371134,5009.15463917526,4998.75257731959,4992.62886597938,4995.20618556701,5002.46391752577,5006.27835051546,5000.92783505155,0.836773572511405,12.3475522769285,1.96893505818748,1.04554006455993,0.790491904728513,1.2812423724199,0.547012810471684,0.27238139857813,0.562695414226526,1.04310272223705,14.2532796774508,0.856787096912863,0.0344684622138739,782.461855670103,3726.01507748727,2.72956925310141,0.00090012024379108,-3.72782668354552,0.577832056682194,0.132416829012566,0.00238101509182067,0.00343709203217479,-0.071150000313817,26.47,2.45,4.55255871571603,24.979,4.91,5.76827464788732,5.55998413013291,5.51700704225352,18.5086411775537,284
"5","Grevillea robusta",1.0030579629326,4.65713481650208,4.52847884516373,-3.28771820235433,0.413346916352483,-0.0352944813696953,1.86056486455103,0.396591332656416,-1.17108514157801,1.75634506931811,0.540167415909695,-1.39181470389788,-0.902327245947989,-0.503931284331801,-0.263765433041209,158.515151515152,167.924242424242,176.636363636364,163.742424242424,168.272727272727,163.257575757576,177.439393939394,173.863636363636,175.575757575758,179.515151515152,178.015151515152,177.424242424242,182.363636363636,193.712121212121,190.454545454545,183.681818181818,186.924242424242,189.848484848485,195.606060606061,193.090909090909,204.848484848485,206.333333333333,216.045454545455,229.727272727273,245.727272727273,270.878787878788,317.651515151515,362.484848484848,406.19696969697,456.409090909091,495.681818181818,518.924242424242,544.984848484848,559.681818181818,571.287878787879,585.924242424242,565.212121212121,537.545454545455,532.757575757576,498.227272727273,486.681818181818,450.181818181818,464.636363636364,459.893939393939,448.530303030303,445.287878787879,441.606060606061,423.80303030303,420.787878787879,408.106060606061,408.166666666667,407.19696969697,395.621212121212,384.757575757576,371.469696969697,362.515151515152,356.818181818182,347.575757575758,341.060606060606,337.015151515152,339.924242424242,349.181818181818,366.530303030303,645.227272727273,923.924242424242,1202.62121212121,1481.25757575758,1760.57575757576,2039.77272727273,2319.07575757576,2598.95454545455,2878.75757575758,3158.69696969697,3438.54545454545,3718.43939393939,3945.27272727273,4085.12121212121,4163.57575757576,4241.9696969697,4320.5,4398.95454545455,4477.48484848485,4519.84848484848,4569.21212121212,4556.33333333333,4579.12121212121,4601.89393939394,4624.66666666667,4647.5,4670.22727272727,4693.09090909091,4715.89393939394,4738.65151515152,4761.57575757576,4784.37878787879,4807.18181818182,4880.89393939394,4930.13636363636,4884.10606060606,4970.19696969697,5057.86363636364,4982.63636363636,5031.62121212121,5047.18181818182,5086.62121212121,5091.56060606061,5091.77272727273,5092.06060606061,5092.33333333333,5092.59090909091,5092.87878787879,5093.24242424242,5082.86363636364,5067.31818181818,5057.16666666667,5035.5303030303,4995.71212121212,4975.57575757576,4952.24242424242,4914.33333333333,4895.68181818182,4882.25757575758,4867.84848484848,4857.62121212121,4851.75757575758,4854.21212121212,4861.25757575758,4865.01515151515,4859.89393939394,0.841108209530615,11.9670678422704,1.98037216124357,1.04602790144305,0.797646751360562,1.2901700039861,0.527989101280847,0.247361156800677,0.562699978346891,1.04114501494084,13.941803172487,0.861966798404464,0.0333243887937061,737.018181818182,3336.89008532904,2.7928004084575,0.00101814047575546,-3.79092755485801,0.605034539457103,0.123474373739425,0.00238791077834288,0.00356635936967259,-0.077929824543515,23.7,6.99,3.4051098095292,23.1845,2.235,2.70825471698113,2.72569197223211,2.60910377358491,19.6933666760596,212
"6","Grevillea robusta",2.98677351005543,4.03038242157925,4.22242054878996,-3.17294235946087,0.381357748103276,-0.39109501698881,1.0215103334088,0.0994152176191281,-0.143438155129761,1.70655896024925,-0.217810793539112,-0.799591848187232,0.1323831991889,-0.0472122650551666,0.0963459772010741,105.516853932584,111.977528089888,121.539325842697,111.179775280899,113.865168539326,109.651685393258,119.808988764045,115.696629213483,115.584269662921,120.022471910112,119.831460674157,118.393258426966,121.808988764045,130.067415730337,127.662921348315,122.662921348315,125.595505617978,127.426966292135,131.47191011236,129.651685393258,138.370786516854,139.651685393258,146.966292134831,160.460674157303,173.168539325843,193.14606741573,230.573033707865,266.797752808989,302.797752808989,343.078651685393,374.269662921348,392.573033707865,412.280898876404,422.134831460674,430.438202247191,441.47191011236,422.224719101124,398.685393258427,393.719101123596,365.134831460674,355.359550561798,326.033707865169,337.292134831461,332.865168539326,323.550561797753,321.629213483146,317.707865168539,302.292134831461,300.516853932584,290.52808988764,291.314606741573,290.393258426966,280.483146067416,273.685393258427,263.258426966292,254.955056179775,251.393258426966,245.022471910112,238.887640449438,236.85393258427,239.584269662921,247.134831460674,262.325842696629,504.213483146067,745.955056179775,987.707865168539,1229.47191011236,1471.78651685393,1714.1797752809,1956.42696629213,2199.23595505618,2442.07865168539,2684.88764044944,2927.69662921348,3170.47191011236,3389.85393258427,3522.61797752809,3595.39325842697,3668.05617977528,3740.96629213483,3813.65168539326,3886.4606741573,3924.50561797753,3970.76404494382,3959.59550561798,3980.61797752809,4001.83146067416,4022.95505617978,4044.12359550562,4065.21348314607,4086.4606741573,4107.55056179775,4128.7191011236,4149.93258426966,4171.07865168539,4192.16853932584,4262.22471910112,4298.19101123595,4269.4606741573,4349.89887640449,4421.43820224719,4361.06741573034,4400.78651685393,4419.41573033708,4452.91011235955,4457.75280898876,4458.58426966292,4459.32584269663,4460.02247191011,4460.80898876405,4461.59550561798,4462.51685393258,4452.86516853933,4438.32584269663,4428.96629213483,4408.84269662921,4372.07865168539,4353.96629213483,4332.2808988764,4296.13483146067,4279.13483146067,4267.3595505618,4254.97752808989,4246.87640449438,4242.3595505618,4246.16853932584,4254.3595505618,4259.07865168539,4254.58426966292,0.873913712167483,17.8274579453699,2.07008155659253,1.04848972432207,0.838912639173207,1.33605027410782,0.602250818753684,0.294990657892028,0.636606580820579,1.03345499059585,21.5958320490728,0.891848487593861,0.0280091838783248,637.739325842697,3804.92237698476,3.11481974408884,0.00216099086013006,-4.11154100576919,0.547355739793456,0.103047585068771,0.00488728124141651,0.00727513728780421,-0.0655015710036762,24.83,4.09,4.05165547200632,23.0905,2.45,2.41714634146341,3.49279809637121,3.48290243902439,17.1214445125148,410
"7","Vitex keniensis",4.12006252535752,8.58028759275164,11.2823605912072,-8.18331055726324,0.798503872605839,-1.62707660043878,-0.0976425654121814,-1.57770705755268,1.91122863899384,-0.0241712886840103,-1.27448193377682,0.112609955136265,2.08470686950854,0.819365776795894,1.05910280070135,116.8,118.5,126.228571428571,117.071428571429,119.985714285714,112.242857142857,123.042857142857,118.528571428571,118.657142857143,122.528571428571,121.314285714286,119.242857142857,123.485714285714,131.857142857143,128.942857142857,123.071428571429,125.7,127.814285714286,131.542857142857,130.228571428571,140.157142857143,142.042857142857,150.142857142857,162.7,177.557142857143,200.385714285714,245.785714285714,289.057142857143,332.171428571429,378.928571428571,414.457142857143,435.9,457.342857142857,468.785714285714,475.671428571429,483.785714285714,460.214285714286,431.314285714286,420.985714285714,387.714285714286,375.014285714286,343.528571428571,353.171428571429,348.185714285714,339.171428571429,334.985714285714,332.7,317.157142857143,314.785714285714,305.157142857143,304.842857142857,304.471428571429,294.771428571429,285.428571428571,273.742857142857,267.714285714286,263.742857142857,257.528571428571,253.414285714286,252.885714285714,255.057142857143,265.114285714286,285.328571428571,631.371428571429,977.5,1323.55714285714,1669.6,2016.44285714286,2363.18571428571,2710.05714285714,3057.5,3405.02857142857,3752.58571428571,4100.15714285714,4447.64285714286,4820.22857142857,5044.17142857143,5171.8,5299.42857142857,5427.25714285714,5554.87142857143,5682.78571428571,5740.44285714286,5816.82857142857,5810.25714285714,5841.67142857143,5872.95714285714,5904.35714285714,5935.72857142857,5967.12857142857,5998.58571428571,6029.98571428571,6061.37142857143,6092.8,6124.17142857143,6155.58571428571,6260.34285714286,6307.24285714286,6248.82857142857,6378.61428571429,6478.51428571429,6391.28571428571,6463.38571428571,6469.67142857143,6537.15714285714,6545.21428571429,6547.37142857143,6549.4,6551.48571428571,6553.57142857143,6555.55714285714,6557.88571428571,6542.88571428571,6519.77142857143,6505.2,6473.88571428571,6416.52857142857,6389.15714285714,6354.98571428571,6296.75714285714,6270.75714285714,6253.12857142857,6235.4,6224.95714285714,6219.62857142857,6227.75714285714,6243.38571428571,6252.97142857143,6246.4,0.902061263638455,20.341353756147,2.1635406398188,1.05083149253348,0.878782029139946,1.37925098368621,0.62816818932402,0.302501436242208,0.686754693571384,1.02507856642777,25.0627477433767,0.918744190015289,0.0224743674067153,899.717142857143,6142.73515306187,3.44613994683502,0.00169920615548925,-4.44360892587886,0.537689405991397,0.0799903706305362,0.00457790343043889,0.00645111579126975,-0.0510889051111265,15.3,2.79,3.26218163235553,14.896,1.78,3.04841509433962,3.10863196867213,2.83003773584906,11.7553347985676,265
"8","Vitex keniensis",6.44636005898045,5.61936058489963,10.1370624026207,-7.21485880303056,2.35894321883735,-3.44512391258797,-0.635048170204032,-3.04973507851158,4.39536025880338,-2.41587613298468,-2.04545140215387,1.77907939664764,1.85251603418425,1.50393451442814,1.10496135781302,71.7397260273973,72.1643835616438,79.4520547945205,68.8219178082192,70,65.4246575342466,72.6301369863014,69.5753424657534,68,68.6712328767123,68.0684931506849,65.7534246575343,67.6164383561644,72.6301369863014,70.7671232876712,67.3424657534247,67.7945205479452,68.8493150684932,70.8082191780822,69.4109589041096,75.1095890410959,75.4520547945205,80.7671232876712,94.8219178082192,102.890410958904,115.506849315068,142.424657534247,168.013698630137,193.876712328767,222.86301369863,244.068493150685,257.369863013699,269.41095890411,276.301369863014,278.465753424658,283.219178082192,267.027397260274,247.041095890411,238.917808219178,217.698630136986,206.246575342466,185.890410958904,191.671232876712,187.58904109589,181.219178082192,178.397260273973,175.767123287671,165.849315068493,163.191780821918,156.561643835616,156.013698630137,155.958904109589,150.082191780822,144.986301369863,138.561643835616,135.479452054795,133.068493150685,129.547945205479,127.164383561644,127.13698630137,129.383561643836,136.191780821918,147.602739726027,404.260273972603,661.095890410959,917.958904109589,1174.82191780822,1432.12328767123,1689.47945205479,1946.94520547945,2204.82191780822,2462.67123287671,2720.6301369863,2978.56164383562,3236.3698630137,3575.45205479452,3799.12328767123,3912.68493150685,4026.27397260274,4140.15068493151,4253.72602739726,4367.49315068493,4408.56164383562,4477.02739726027,4473.09589041096,4496.8904109589,4520.71232876712,4544.54794520548,4568.43835616438,4592.19178082192,4616.08219178082,4639.97260273973,4663.78082191781,4687.64383561644,4711.49315068493,4735.45205479452,4823.75342465753,4864.3698630137,4809.82191780822,4914.78082191781,4996.21917808219,4927.56164383562,4983.98630136986,5002.12328767123,5032.80821917808,5039.52054794521,5041.82191780822,5044.06849315068,5046.32876712329,5048.58904109589,5050.76712328767,5053.19178082192,5041.09589041096,5022.05479452055,5010.31506849315,4984.93150684932,4938.57534246575,4916.72602739726,4888.90410958904,4840.53424657534,4819.76712328767,4806.13698630137,4792.80821917808,4785.68493150685,4782.32876712329,4790.39726027397,4805,4814.17808219178,4809.1095890411,0.934925729507181,33.260715517377,2.30311683465432,1.05323675468917,0.925721837744281,1.42457600743676,0.643368863940254,0.348838595133246,0.772684007235152,1.01458540264424,43.0770039472598,0.948145480303127,0.0140916018934525,662.490410958904,6508.44611322887,4.04507377975504,0.00531711840783629,-5.03837314162612,0.489382530764703,0.0562502255813751,0.00605318947911899,0.0116787297515799,-0.032326013502501,16.28,2.21,3.79562631707159,15.544,1.47,2.21208791208791,2.76412430060782,2.48424908424908,12.6363207974752,273
"9","Grevillea robusta",0.353771924899489,4.06697017071294,-0.179630596044601,-0.416027109120406,1.83654802453284,1.00038265035141,2.02239443500544,0.47668130951477,-1.25791933606653,2.47516311033099,0.923579273562805,-1.38499156203048,0.359288277008625,-0.0145735355349732,0.135681651459605,130.901960784314,137.450980392157,148.372549019608,137.823529411765,142.764705882353,134.529411764706,150,146.882352941176,145.960784313725,149.43137254902,148.078431372549,146.666666666667,151.588235294118,161.352941176471,155.137254901961,149.509803921569,150.960784313725,153.803921568627,158.098039215686,154.254901960784,165.254901960784,167.058823529412,174.333333333333,187.627450980392,205.882352941176,232.294117647059,282.274509803922,331.470588235294,375.941176470588,427.921568627451,467.686274509804,491.333333333333,516.254901960784,531.117647058824,540.901960784314,554.039215686274,532.235294117647,503.529411764706,495.117647058824,459.470588235294,446.529411764706,410.078431372549,421.666666666667,415.960784313725,404.078431372549,398.882352941176,392.392156862745,369.921568627451,363.960784313725,351.941176470588,350.960784313725,350.137254901961,336.392156862745,324.607843137255,307.098039215686,294.941176470588,287.862745098039,275.78431372549,266.098039215686,261.490196078431,263.43137254902,270.960784313725,289.882352941176,533.901960784314,777.980392156863,1022.03921568627,1266.01960784314,1510.56862745098,1755.09803921569,1999.72549019608,2244.82352941176,2489.82352941176,2734.88235294118,2980,3225.01960784314,3406.23529411765,3505.72549019608,3566.1568627451,3626.54901960784,3687.11764705882,3747.47058823529,3807.98039215686,3834.09803921569,3866.56862745098,3850.60784313725,3865.52941176471,3880.56862745098,3895.52941176471,3910.52941176471,3925.52941176471,3940.49019607843,3955.50980392157,3970.47058823529,3985.49019607843,4000.43137254902,4015.45098039216,4085.09803921569,4115.82352941176,4081.62745098039,4164.23529411765,4224.98039215686,4181.07843137255,4222.35294117647,4232.74509803922,4254.94117647059,4259.29411764706,4259.72549019608,4260.07843137255,4260.47058823529,4260.90196078431,4261.19607843137,4261.78431372549,4252.82352941176,4239.58823529412,4230.92156862745,4212.49019607843,4178.47058823529,4161.54901960784,4141.70588235294,4109,4093.23529411765,4081.92156862745,4069.94117647059,4061.8431372549,4057.03921568627,4059.54901960784,4066.03921568627,4069.6862745098,4065.3137254902,0.857518532632864,13.4987744966068,1.9817397251664,1.04694623106667,0.802279725349584,1.29684318366791,0.637645359563086,0.347045847358784,0.597599791356769,1.03426458144097,15.5612696506419,0.874741040055201,0.0279032932831749,662.364705882353,3304.54734813676,2.79596050965163,0.00101145494655683,-3.79388056304776,0.486437922695989,0.137233536845955,0.00348352759631588,0.00470205083661833,-0.0706433366556819,23.22,2.69,3.68011147492448,22.1875,2.75,2.96053097345133,3.76274884485864,3.67752212389381,17.6336449582403,226
"10","Vitex keniensis",5.36581300837653,3.82591274025894,5.12714067825249,-4.16043474816141,1.73568507813449,-1.33733935965935,0.845119594002053,-0.538549032106641,1.08522569267523,0.555356268620207,-0.633224803051867,-0.0103767224720547,1.40031710097211,0.441254657152153,0.454055375561473,70.8095238095238,73.8,77.5809523809524,66.1904761904762,68.1238095238095,61.8,67.0666666666667,64.5428571428571,62.8571428571429,63.9047619047619,62.2761904761905,61.0380952380952,62.9428571428571,67.7047619047619,64.847619047619,61.4761904761905,62.0666666666667,63.152380952381,65.3904761904762,63.6952380952381,68.9904761904762,69.8285714285714,74.1238095238095,87.8380952380952,95.6666666666667,109.733333333333,137.695238095238,165.914285714286,195.4,227.304761904762,252.47619047619,266.4,279.933333333333,288.47619047619,293.47619047619,299.714285714286,283.47619047619,263.047619047619,255.428571428571,232.238095238095,222.533333333333,200.466666666667,206.6,202.533333333333,195.666666666667,192,188.190476190476,176.12380952381,173,166.07619047619,164.952380952381,164.466666666667,156.866666666667,150.247619047619,141.666666666667,136.885714285714,133.904761904762,129.333333333333,124.838095238095,124.27619047619,126.742857142857,132.380952380952,144.447619047619,367.961904761905,591.447619047619,814.980952380952,1038.4380952381,1262.41904761905,1486.38095238095,1710.33333333333,1934.77142857143,2159.17142857143,2383.59047619048,2608.11428571429,2832.47619047619,3066.15238095238,3214.20952380952,3294.21904761905,3374.27619047619,3454.4380952381,3534.4380952381,3614.59047619048,3645.94285714286,3687.3619047619,3685.9619047619,3706.04761904762,3726.10476190476,3746.09523809524,3766.1619047619,3786.24761904762,3806.27619047619,3826.34285714286,3846.40952380952,3866.49523809524,3886.52380952381,3906.58095238095,3969.98095238095,3998.00952380952,3973.32380952381,4044.70476190476,4111.8,4058.74285714286,4104.13333333333,4118.86666666667,4146.92380952381,4152.30476190476,4153.94285714286,4155.59047619048,4157.18095238095,4158.8,4160.45714285714,4162.2380952381,4152.39047619048,4137.18095238095,4127.70476190476,4107.13333333333,4069.73333333333,4052.01904761905,4029.61904761905,3991.01904761905,3974.13333333333,3962.90476190476,3951.89523809524,3945.73333333333,3942.69523809524,3948.66666666667,3959.7619047619,3966.77142857143,3962.54285714286,0.922816696382178,26.5948888735984,2.21312492517632,1.05214430712234,0.90063847662944,1.40300044579736,0.718583364342834,0.393915486036345,0.744178021233044,1.01938473641159,33.060326676701,0.936497017050224,0.0186971494497269,585.40380952381,5149.23717552102,3.61213249391139,0.00332801003585523,-4.60733484157397,0.436310158325804,0.0752780463510695,0.00855683307605721,0.0122036753978224,-0.055096175344672,18.39,2.78,9.74375231978582,17.161,2.15,2.34472573839662,2.88878295857145,2.78383966244726,13.2329434998751,474
